Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[  42% ] reimport | sniper_ssg69.png
[  45% ] reimport | sniper_svd.png
[  47% ] reimport | ground.png
[  50% ] reimport | ak47.svg
[  52% ] reimport | awm.svg
[  55% ] reimport | psg1.svg
[  57% ] reimport | rem700.svg
[  60% ] reimport | sks.svg
[  62% ] reimport | ssg69.svg
[  65% ] reimport | svd.svg
[  67% ] reimport | after_combat.png
[  70% ] reimport | after_ready.png
[  72% ] reimport | ak47.png
[  75% ] reimport | awm.png
[  77% ] reimport | psg1.png
[  80% ] reimport | rem700.png
[  82% ] reimport | sks.png
[  85% ] reimport | ssg69.png
[  87% ] reimport | svd.png
[  90% ] reimport | ak47.svg
[  92% ] reimport | awm.svg
[  95% ] reimport | psg1.svg
[  97% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (39 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[  33% ] loading_editor_layout | Reopening scenes...
[  50% ] loading_editor_layout | Loading central editor layout...
[  66% ] loading_editor_layout | Loading plugin window layout...
[  83% ] loading_editor_layout | Editor layout ready.
[ DONE ] loading_editor_layout

